mps,run,time,fail,threads
markshare_4_0,1,0.8855,0,1
markshare_4_0,2,0.8349,0,1
markshare_4_0,3,0.8625,0,1
markshare_4_0,1,0.7109,0,2
markshare_4_0,2,0.7093,0,2
markshare_4_0,3,0.6675,0,2
markshare_4_0,1,0.6684,0,4
markshare_4_0,2,0.6322,0,4
markshare_4_0,3,0.6154,0,4
markshare_4_0,1,1.0663,0,8
markshare_4_0,2,1.0480,0,8
markshare_4_0,3,1.0783,0,8
beasleyC3,1,3.6613,0,1
beasleyC3,2,3.6796,0,1
beasleyC3,3,3.6375,0,1
beasleyC3,1,5.6041,0,2
beasleyC3,2,5.7245,0,2
beasleyC3,3,5.6285,0,2
beasleyC3,1,5.3149,0,4
beasleyC3,2,5.2213,0,4
beasleyC3,3,5.2226,0,4
beasleyC3,1,4.0262,0,8
beasleyC3,2,4.0430,0,8
beasleyC3,3,4.0267,0,8
neos5,1,209.3147,0,1
neos5,2,208.8841,0,1
neos5,3,208.6704,0,1
neos5,1,89.5518,0,2
neos5,2,89.3300,0,2
neos5,3,89.5490,0,2
neos5,1,39.8386,0,4
neos5,2,40.2293,0,4
neos5,3,39.8754,0,4
neos5,1,30.3545,0,8
neos5,2,30.4076,0,8
neos5,3,30.4733,0,8
bnatt400,1,1800.1621,1,1
bnatt400,2,1800.1254,1,1
bnatt400,3,1800.1914,1,1
bnatt400,1,996.2442,0,2
bnatt400,2,999.1221,0,2
bnatt400,3,994.2402,0,2
bnatt400,1,1355.7515,0,4
bnatt400,2,1356.4161,0,4
bnatt400,3,1353.7680,0,4
bnatt400,1,392.2962,0,8
bnatt400,2,391.2149,0,8
bnatt400,3,391.0938,0,8
graphdraw-domain,1,162.0073,0,1
graphdraw-domain,2,161.3388,0,1
graphdraw-domain,3,161.0810,0,1
graphdraw-domain,1,129.7401,0,2
graphdraw-domain,2,129.6947,0,2
graphdraw-domain,3,129.5144,0,2
graphdraw-domain,1,78.4167,0,4
graphdraw-domain,2,78.3210,0,4
graphdraw-domain,3,78.4544,0,4
graphdraw-domain,1,68.6686,0,8
graphdraw-domain,2,68.6821,0,8
graphdraw-domain,3,68.7177,0,8
gen-ip054,1,1565.1237,0,1
gen-ip054,2,1609.1887,0,1
gen-ip054,3,1680.4413,0,1
gen-ip054,1,944.6661,0,2
gen-ip054,2,935.2566,0,2
gen-ip054,3,897.7219,0,2
gen-ip054,1,415.2621,0,4
gen-ip054,2,413.7618,0,4
gen-ip054,3,412.4940,0,4
gen-ip054,1,324.6904,0,8
gen-ip054,2,326.6892,0,8
gen-ip054,3,328.6024,0,8
roll3000,1,16.7861,0,1
roll3000,2,16.6905,0,1
roll3000,3,16.7025,0,1
roll3000,1,10.8038,0,2
roll3000,2,10.8694,0,2
roll3000,3,10.7984,0,2
roll3000,1,9.1765,0,4
roll3000,2,9.1809,0,4
roll3000,3,9.1964,0,4
roll3000,1,12.2132,0,8
roll3000,2,12.1379,0,8
roll3000,3,12.1886,0,8
piperout-08,1,2.7900,0,1
piperout-08,2,2.8032,0,1
piperout-08,3,2.8803,0,1
piperout-08,1,2.8511,0,2
piperout-08,2,2.8302,0,2
piperout-08,3,2.8534,0,2
piperout-08,1,4.8421,0,4
piperout-08,2,4.7711,0,4
piperout-08,3,4.7815,0,4
piperout-08,1,5.0810,0,8
piperout-08,2,5.0139,0,8
piperout-08,3,5.0471,0,8
traininstance2,1,295.8054,0,1
traininstance2,2,295.3775,0,1
traininstance2,3,295.3464,0,1
traininstance2,1,191.5560,0,2
traininstance2,2,191.9905,0,2
traininstance2,3,191.6979,0,2
traininstance2,1,90.1935,0,4
traininstance2,2,90.1807,0,4
traininstance2,3,90.3592,0,4
traininstance2,1,92.5265,0,8
traininstance2,2,92.7558,0,8
traininstance2,3,92.4168,0,8
rail507,1,51.2421,0,1
rail507,2,51.3176,0,1
rail507,3,51.4706,0,1
rail507,1,106.4811,0,2
rail507,2,105.7181,0,2
rail507,3,105.9540,0,2
rail507,1,26.3185,0,4
rail507,2,26.1183,0,4
rail507,3,26.1944,0,4
rail507,1,44.4060,0,8
rail507,2,44.8988,0,8
rail507,3,44.5171,0,8
